URL,Type,Size,Levels,Garage,Taxes,MLS Number,Price,address,garage,bedroom,bathroom,date released
https://www.zoocasa.com/vancouver-bc-real-estate/2354-burquitlam-dr,Single Family Residence,1700 sqft,Residential,No,"$9,253",R2948263,"$2,589,800"," 2354 Burquitlam Dr, Vancouver, British Columbia",4,3,1,1953.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/3008-1033-marinaside-cres,Apartment/Condominium,1046 sqft,Residential,Yes,"$4,110",R2945354,"$1,249,000"," 3008 - 1033 Marinaside Cres, Vancouver, British Columbia",0,2,2,2001.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/705-150-e-cordova-st,Apartment/Condominium,498 sqft,Residential,Yes,"$1,262",R2946140,"$420,000"," 705 - 150 E Cordova St, Vancouver, British Columbia",0,1,1,2016.0
https://www.zoocasa.com/vancouver-bc-real-estate/5142-killarney-st,Single Family Residence,1923 sqft,Residential,Yes,"$8,488",R2945519,"$2,999,000"," 5142 Killarney St, Vancouver, British Columbia",2,5,4,2010.0
https://www.zoocasa.com/vancouver-bc-real-estate/harlin/319-8633-river-district-cross,Apartment/Condominium,788 sqft,Residential,Yes,,R2944675,"$901,900"," 319 - 8633 River District Cross, Vancouver, British Columbia",1,2,2,2028.0
https://www.zoocasa.com/vancouver-bc-real-estate/yaletown-park-2/1602-909-mainland-st,Apartment/Condominium,665 sqft,Residential,Yes,"$2,143",R2945924,"$728,800"," 1602 - 909 Mainland St, Vancouver, British Columbia",1,1,1,2006.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/2709-501-pacific-st,Apartment/Condominium,631 sqft,Residential,Yes,"$2,262",R2945090,"$799,000"," 2709 - 501 Pacific St, Vancouver, British Columbia",1,1,1,1999.0
https://www.zoocasa.com/vancouver-bc-real-estate/renfrew-collingwood/1608-5058-joyce-st,Apartment/Condominium,445 sqft,Residential,Yes,"$1,612",R2945153,"$494,000"," 1608 - 5058 Joyce St, Vancouver, British Columbia",0,1,1,2021.0
https://www.zoocasa.com/vancouver-bc-real-estate/renfrew-collingwood/5529-slocan-st,Multi Family,1989 sqft,Residential,Yes,,R2948935,"$1,889,000"," 5529 Slocan St, Vancouver, British Columbia",2,4,4,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/24-94-king-edward-ave-w,Apartment/Condominium,656 sqft,Residential,No,"$2,591",R2945755,"$889,000"," 24 - 94 King Edward Ave W, Vancouver, British Columbia",0,1,1,2022.0
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/1302-1003-burnaby-st,Apartment/Condominium,643 sqft,Residential,Yes,"$2,004",R2948652,"$639,000"," 1302 - 1003 Burnaby St, Vancouver, British Columbia",1,1,1,1999.0
https://www.zoocasa.com/vancouver-bc-real-estate/sunset/617-e-52nd-ave,Single Family Residence,3537 sqft,Residential,Yes,"$14,882",R2945784,"$3,998,000"," 617 E 52nd Ave, Vancouver, British Columbia",6,5,5,1933.0
https://www.zoocasa.com/vancouver-bc-real-estate/mount-pleasant/1101-181-w-1st-ave,Apartment/Condominium,686 sqft,Residential,Yes,"$2,614",R2948688,"$888,000"," 1101 - 181 W 1st Ave, Vancouver, British Columbia",1,1,1,2010.0
https://www.zoocasa.com/vancouver-bc-real-estate/renfrew-collingwood/3872-nanaimo-st,Single Family Residence,2418 sqft,Residential,Yes,"$6,653",R2947480,"$1,988,000"," 3872 Nanaimo St, Vancouver, British Columbia",2,4,2,1968.0
https://www.zoocasa.com/vancouver-bc-real-estate/kitsilano/306-2110-cornwall-ave,Apartment/Condominium,946 sqft,Residential,Yes,"$3,191",R2947412,"$1,099,000"," 306 - 2110 Cornwall Ave, Vancouver, British Columbia",1,1,1,1987.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/2706-1323-homer-st,Apartment/Condominium,457 sqft,Residential,Yes,"$1,763",R2944640,"$598,000"," 2706 - 1323 Homer St, Vancouver, British Columbia",0,0,1,1993.0
https://www.zoocasa.com/vancouver-bc-real-estate/sunset/5741-st-george-st,Townhouse,1591 sqft,Residential,Yes,"$4,770",R2945496,"$1,549,000"," 5741 St George St, Vancouver, British Columbia",1,3,2,2014.0
https://www.zoocasa.com/vancouver-bc-real-estate/arbutus-ridge/205-4685-valley-dr,Apartment/Condominium,1072 sqft,Residential,Yes,"$3,423",R2948972,"$1,280,000"," 205 - 4685 Valley Dr, Vancouver, British Columbia",1,2,2,2003.0
https://www.zoocasa.com/vancouver-bc-real-estate/oakridge/111-6677-cambie-st,Apartment/Condominium,657 sqft,Residential,Yes,"$2,066",R2946675,"$749,000"," 111 - 6677 Cambie St, Vancouver, British Columbia",1,1,1,2016.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/1508-969-richards-st,Apartment/Condominium,595 sqft,Residential,Yes,"$1,920",R2948120,"$689,800"," 1508 - 969 Richards St, Vancouver, British Columbia",1,1,1,2001.0
https://www.zoocasa.com/vancouver-bc-real-estate/oakridge/1204-7433-cambie-st,Apartment/Condominium,827 sqft,Residential,Yes,"$3,220",R2948243,"$1,388,000"," 1204 - 7433 Cambie St, Vancouver, British Columbia",0,2,2,2022.0
https://www.zoocasa.com/vancouver-bc-real-estate/2203-602-citadel-parade,Apartment/Condominium,885 sqft,Residential,Yes,"$2,547",R2944892,"$899,900"," 2203 - 602 Citadel Parade, Vancouver, British Columbia",1,2,2,2007.0
https://www.zoocasa.com/vancouver-bc-real-estate/705-1568-alberni-st,Apartment/Condominium,701 sqft,Residential,Yes,,R2946131,"$1,150,000"," 705 - 1568 Alberni St, Vancouver, British Columbia",1,1,1,2023.0
https://www.zoocasa.com/vancouver-bc-real-estate/cambridge-mews/1507-w-59th-ave,Townhouse,1489 sqft,Residential,Yes,"$5,076",R2945399,"$1,699,900"," 1507 W 59 Th Ave, Vancouver, British Columbia",2,3,3,2017.0
https://www.zoocasa.com/vancouver-bc-real-estate/oakridge/2302-7433-cambie-st,Apartment/Condominium,531 sqft,Residential,Yes,"$2,461",R2945521,"$758,888"," 2302 - 7433 Cambie St, Vancouver, British Columbia",1,1,1,2022.0
https://www.zoocasa.com/vancouver-bc-real-estate/renfrew-collingwood/1907-4815-eldorado-mews,Apartment/Condominium,716 sqft,Residential,Yes,"$2,047",R2946829,"$699,000"," 1907 - 4815 Eldorado Mews, Vancouver, British Columbia",1,2,1,2013.0
https://www.zoocasa.com/vancouver-bc-real-estate/3186-grant-st,Multi Family,1830 sqft,Residential,Yes,,R2947519,"$1,798,000"," 3186 Grant St, Vancouver, British Columbia",2,4,4,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/kensington-cedar-cottage/1-1809-e-15th-ave,Multi Family,1615 sqft,Residential,Yes,,R2944839,"$1,738,000"," 1 - 1809 E 15th Ave, Vancouver, British Columbia",1,4,3,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/2201-938-smithe-st,Apartment/Condominium,463 sqft,Residential,Yes,"$1,734",R2948932,"$499,000"," 2201 - 938 Smithe St, Vancouver, British Columbia",1,1,1,2005.0
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/902-1860-robson-st,Apartment/Condominium,1214 sqft,Residential,Yes,"$3,242",R2948711,"$1,588,000"," 902 - 1860 Robson St, Vancouver, British Columbia",2,2,2,1987.0
https://www.zoocasa.com/vancouver-bc-real-estate/205-2105-w-46th-ave,Townhouse,1401 sqft,Residential,Yes,,R2948413,"$2,469,900"," 205 - 2105 W 46 Th Ave, Vancouver, British Columbia",2,3,3,2025.0
https://www.zoocasa.com/vancouver-bc-real-estate/marpole/2907-8189-cambie-st,Apartment/Condominium,758 sqft,Residential,Yes,"$2,849",R2947508,"$969,600"," 2907 - 8189 Cambie St, Vancouver, British Columbia",0,2,2,2018.0
https://www.zoocasa.com/vancouver-bc-real-estate/104-157-w-king-edward-ave,Townhouse,1521 sqft,Residential,Yes,,R2947731,"$2,349,900"," 104 - 157 W King Edward Ave, Vancouver, British Columbia",2,4,2,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/2828-turner-st,Single Family Residence,1281 sqft,Residential,Yes,"$6,781",R2945118,"$1,649,800"," 2828 Turner St, Vancouver, British Columbia",1,4,1,1914.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/1504-1335-howe-st,Apartment/Condominium,1720 sqft,Residential,Yes,"$7,518",R2946749,"$2,599,000"," 1504 - 1335 Howe St, Vancouver, British Columbia",2,3,2,2022.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/2601-833-homer-st,Apartment/Condominium,642 sqft,Residential,Yes,"$2,288",R2946643,"$799,000"," 2601 - 833 Homer St, Vancouver, British Columbia",1,1,1,2010.0
https://www.zoocasa.com/vancouver-bc-real-estate/salt/1003-1308-hornby-st,Apartment/Condominium,475 sqft,Residential,No,"$1,710",R2947738,"$555,000"," 1003 - 1308 Hornby St, Vancouver, British Columbia",0,1,1,2014.0
https://www.zoocasa.com/vancouver-bc-real-estate/1-3565-triumph-st,Multi Family,1604 sqft,Residential,Yes,,R2946858,"$1,698,000"," 1 - 3565 Triumph St, Vancouver, British Columbia",2,3,3,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/hastings-sunrise/3317-e-3rd-ave,Single Family Residence,3195 sqft,Residential,Yes,"$6,941",R2948128,"$2,799,000"," 3317 E 3rd Ave, Vancouver, British Columbia",3,6,5,2015.0
https://www.zoocasa.com/vancouver-bc-real-estate/2-1160-rossland-st,Multi Family,1429 sqft,Residential,Yes,,R2946420,"$1,549,000"," 2 - 1160 Rossland St, Vancouver, British Columbia",2,3,2,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/mount-pleasant/1127-e-15th-ave,Townhouse,1397 sqft,Residential,Yes,,R2945754,"$1,699,900"," 1127 E 15 Th Ave, Vancouver, British Columbia",1,3,2,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/the-crest/401-108-e-35th-ave,Apartment/Condominium,1208 sqft,Residential,Yes,"$4,028",R2948464,"$1,449,900"," 401 - 108 E 35 Th Ave, Vancouver, British Columbia",1,3,2,2019.0
https://www.zoocasa.com/vancouver-bc-real-estate/avenue-one/1219-1768-cook-st,Apartment/Condominium,461 sqft,Residential,Yes,"$1,894",R2946676,"$608,000"," 1219 - 1768 Cook St, Vancouver, British Columbia",0,1,1,2021.0
https://www.zoocasa.com/vancouver-bc-real-estate/611-2655-cranberry-dr,Apartment/Condominium,674 sqft,Residential,Yes,"$2,330",R2948737,"$798,998"," 611 - 2655 Cranberry Dr, Vancouver, British Columbia",2,1,1,2000.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/805-1211-melville-st,Apartment/Condominium,1360 sqft,Residential,Yes,"$4,500",R2947216,"$1,399,000"," 805 - 1211 Melville St, Vancouver, British Columbia",1,3,3,2008.0
https://www.zoocasa.com/vancouver-bc-real-estate/505-5168-cambie-st,Apartment/Condominium,885 sqft,Residential,Yes,,R2948436,"$1,589,900"," 505 - 5168 Cambie St, Vancouver, British Columbia",1,2,2,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/west-point-grey/2-4423-w-16th-ave,Multi Family,1608 sqft,Residential,Yes,,R2945986,"$2,388,000"," 2 - 4423 W 16th Ave, Vancouver, British Columbia",1,3,3,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/renfrew-collingwood/2-5111-ann-st,Multi Family,1267 sqft,Residential,Yes,$1,R2946438,"$1,299,000"," 2 - 5111 Ann St, Vancouver, British Columbia",1,3,3,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/cambie-7th/307-538-w-7th-ave,Apartment/Condominium,602 sqft,Residential,No,"$2,122",R2945123,"$649,000"," 307 - 538 W 7 Th Ave, Vancouver, British Columbia",0,1,1,2014.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/402-928-homer-st,Apartment/Condominium,509 sqft,Residential,Yes,"$1,766",R2945943,"$629,000"," 402 - 928 Homer St, Vancouver, British Columbia",1,1,1,2006.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/605-53-w-hastings-st,Apartment/Condominium,1047 sqft,Residential,No,"$2,772",R2945507,"$838,000"," 605 - 53 W Hastings St, Vancouver, British Columbia",0,1,1,2008.0
https://www.zoocasa.com/vancouver-bc-real-estate/101-2511-quebec-st,Apartment/Condominium,720 sqft,Residential,Yes,"$2,179",R2947818,"$859,000"," 101 - 2511 Quebec St, Vancouver, British Columbia",1,1,1,2011.0
https://www.zoocasa.com/vancouver-bc-real-estate/dunbar-southlands/3941-w-24th-ave,Single Family Residence,2884 sqft,Residential,Yes,"$15,438",R2945131,"$4,399,000"," 3941 W 24th Ave, Vancouver, British Columbia",3,4,5,2022.0
https://www.zoocasa.com/vancouver-bc-real-estate/3314-e-8th-ave,Single Family Residence,2586 sqft,Residential,Yes,"$7,069",R2948667,"$1,799,000"," 3314 E 8 Th Ave, Vancouver, British Columbia",1,5,2,1974.0
https://www.zoocasa.com/vancouver-bc-real-estate/2111-marine-dr-sw,Single Family Residence,3864 sqft,Residential,Yes,"$10,158",R2945776,"$3,180,000"," 2111 Marine Dr Sw, Vancouver, British Columbia",4,6,4,1996.0
https://www.zoocasa.com/vancouver-bc-real-estate/urana-mews/102-458-e-43rd-ave,Apartment/Condominium,803 sqft,Residential,No,"$1,761",R2948503,"$739,000"," 102 - 458 E 43 Rd Ave, Vancouver, British Columbia",1,3,1,1986.0
https://www.zoocasa.com/vancouver-bc-real-estate/1205-1003-pacific-st,Apartment/Condominium,989 sqft,Residential,Yes,"$3,443",R2946175,"$1,189,000"," 1205 - 1003 Pacific St, Vancouver, British Columbia",1,2,2,1997.0
https://www.zoocasa.com/vancouver-bc-real-estate/van-horne/511-22-cordova-st-e,Apartment/Condominium,770 sqft,Residential,Yes,"$1,920",R2947259,"$669,000"," 511 - 22 Cordova St E, Vancouver, British Columbia",1,1,1,1997.0
https://www.zoocasa.com/vancouver-bc-real-estate/avenue-one/1302-1768-cook-st,Apartment/Condominium,491 sqft,Residential,Yes,"$1,414",R2948116,"$742,000"," 1302 - 1768 Cook St, Vancouver, British Columbia",1,1,1,2021.0
https://www.zoocasa.com/vancouver-bc-real-estate/kitsilano/303-2040-cornwall-ave,Apartment/Condominium,717 sqft,Residential,Yes,"$1,893",R2945981,"$748,000"," 303 - 2040 Cornwall Ave, Vancouver, British Columbia",1,1,1,1972.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/904-888-pacific-st,Apartment/Condominium,600 sqft,Residential,Yes,"$1,504",R2945379,"$598,000"," 904 - 888 Pacific St, Vancouver, British Columbia",1,1,1,1994.0
https://www.zoocasa.com/vancouver-bc-real-estate/the-wilshire/1101-2108-w-38th-ave,Apartment/Condominium,2070 sqft,Residential,Yes,"$6,186",R2946961,"$2,348,000"," 1101 - 2108 W 38 Th Ave, Vancouver, British Columbia",2,2,2,1992.0
https://www.zoocasa.com/vancouver-bc-real-estate/west-end/101-717-jervis-st,Apartment/Condominium,1214 sqft,Residential,Yes,"$2,836",R2946634,"$1,599,000"," 101 - 717 Jervis St, Vancouver, British Columbia",1,2,2,1990.0
https://www.zoocasa.com/vancouver-bc-real-estate/e15-just-off-main/209-322-e-15th-ave,Townhouse,1155 sqft,Residential,Yes,,R2947490,"$1,489,900"," 209 - 322 E 15 Th Ave, Vancouver, British Columbia",1,3,2,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/7-688-e-19th-ave,Apartment/Condominium,592 sqft,Residential,No,"$1,998",R2948240,"$679,000"," 7 - 688 E 19 Th Ave, Vancouver, British Columbia",0,2,1,2017.0
https://www.zoocasa.com/vancouver-bc-real-estate/adera-house/1101-7228-adera-st,Apartment/Condominium,943 sqft,Residential,Yes,"$3,900",R2948434,"$1,460,000"," 1101 - 7228 Adera St, Vancouver, British Columbia",2,2,2,2019.0
https://www.zoocasa.com/vancouver-bc-real-estate/2747-w-19th-ave,Single Family Residence,3630 sqft,Residential,Yes,"$13,875",R2947227,"$2,998,000"," 2747 W 19 Th Ave, Vancouver, British Columbia",6,6,4,1989.0
https://www.zoocasa.com/vancouver-bc-real-estate/renfrew-collingwood/1701-5515-boundary-rd,Apartment/Condominium,469 sqft,Residential,Yes,"$1,555",R2946968,"$539,000"," 1701 - 5515 Boundary Rd, Vancouver, British Columbia",1,1,1,2016.0
https://www.zoocasa.com/vancouver-bc-real-estate/2-3268-w-15th-ave,Multi Family,1571 sqft,Residential,Yes,,R2946652,"$2,638,000"," 2 - 3268 W 15 Th Ave, Vancouver, British Columbia",1,3,2,2024.0
https://www.zoocasa.com/vancouver-bc-real-estate/213-2891-e-hastings-st,Apartment/Condominium,664 sqft,Residential,Yes,"$1,546",R2946817,"$530,000"," 213 - 2891 E Hastings St, Vancouver, British Columbia",1,1,1,2004.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/1901-1001-homer-st,Apartment/Condominium,505 sqft,Residential,Yes,"$1,917",R2947749,"$658,000"," 1901 - 1001 Homer St, Vancouver, British Columbia",1,1,1,2005.0
https://www.zoocasa.com/vancouver-bc-real-estate/barclay-court/1302-1127-barclay-st,Apartment/Condominium,815 sqft,Residential,Yes,"$2,238",R2946953,"$799,900"," 1302 - 1127 Barclay St, Vancouver, British Columbia",1,2,1,1982.0
https://www.zoocasa.com/vancouver-bc-real-estate/cambie-villiage/438-17th-ave-w,Single Family Residence,3628 sqft,Residential,Yes,"$10,818",R2946814,"$3,998,000"," 438 17 Th Ave W, Vancouver, British Columbia",4,8,3,1930.0
https://www.zoocasa.com/vancouver-bc-real-estate/harbourside-park-i/704-588-broughton-st,Apartment/Condominium,598 sqft,Residential,Yes,"$2,063",R2948936,"$699,000"," 704 - 588 Broughton St, Vancouver, British Columbia",1,1,1,1995.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/2301-1455-howe-st,Apartment/Condominium,1015 sqft,Residential,Yes,"$4,132",R2947811,"$1,459,000"," 2301 - 1455 Howe St, Vancouver, British Columbia",1,2,1,2007.0
https://www.zoocasa.com/vancouver-bc-real-estate/kensington-cedar-cottage/1547-e-13th-ave,Multi Family,1708 sqft,Residential,Yes,"$5,050",R2946202,"$1,699,000"," 1547 E 13th Ave, Vancouver, British Columbia",0,3,3,2013.0
https://www.zoocasa.com/vancouver-bc-real-estate/terra-vita-place/58-3436-terra-vita-pl,Townhouse,1355 sqft,Residential,Yes,"$2,814",R2945785,"$949,000"," 58 - 3436 Terra Vita Pl, Vancouver, British Columbia",1,3,2,1997.0
https://www.zoocasa.com/vancouver-bc-real-estate/marpole/205-7638-cambie-st,Apartment/Condominium,861 sqft,Residential,Yes,"$3,315",R2948256,"$958,000"," 205 - 7638 Cambie St, Vancouver, British Columbia",1,2,2,2022.0
https://www.zoocasa.com/vancouver-bc-real-estate/victoria-fraserview/1686-e-56th-ave,Single Family Residence,3312 sqft,Residential,Yes,"$8,890",R2947210,"$2,998,000"," 1686 E 56th Ave, Vancouver, British Columbia",3,5,5,2014.0
https://www.zoocasa.com/vancouver-bc-real-estate/the-milano/1004-1003-burnaby-st,Apartment/Condominium,651 sqft,Residential,Yes,"$1,819",R2944865,"$680,000"," 1004 - 1003 Burnaby St, Vancouver, British Columbia",1,1,1,1999.0
https://www.zoocasa.com/vancouver-bc-real-estate/shaughnessy/1080-wolfe-ave,Single Family Residence,5880 sqft,Residential,Yes,"$30,185",R2948454,"$9,680,000"," 1080 Wolfe Ave, Vancouver, British Columbia",4,4,3,1912.0
https://www.zoocasa.com/vancouver-bc-real-estate/downtown/1806-588-broughton-st,Apartment/Condominium,667 sqft,Residential,Yes,"$2,440",R2948651,"$968,000"," 1806 - 588 Broughton St, Vancouver, British Columbia",1,1,1,1995.0
https://www.zoocasa.com/vancouver-bc-real-estate/6163-battison-st,Single Family Residence,2603 sqft,Residential,Yes,"$7,566",R2945779,"$1,888,000"," 6163 Battison St, Vancouver, British Columbia",2,5,3,1964.0
https://www.zoocasa.com/vancouver-bc-real-estate/3996-w-31-ave,Single Family Residence,2988 sqft,Residential,Yes,"$13,912",R2945349,"$4,680,000"," 3996 W 31 Ave, Vancouver, British Columbia",4,4,4,2015.0
